zoom,epoch,batch_id,loss
6,0,0,4.5
6,0,1,5.25
6,0,2,5.25
6,0,3,4.0
6,0,4,4.5
6,0,5,7.25
6,0,6,4.5
6,0,7,4.0
6,0,8,4.5
6,0,9,4.5
6,0,10,5.0
6,0,11,5.5
6,0,12,5.25
6,0,13,4.0
6,0,14,5.0
6,0,15,4.5
6,0,16,4.75
6,0,17,5.5
6,0,18,5.5
6,0,19,5.25
6,0,20,5.25
6,0,21,5.25
6,0,22,5.0
6,0,23,5.25
6,0,24,5.25
6,0,25,6.0
6,0,26,4.5
6,0,27,5.25
6,0,28,5.0
6,0,29,5.25
6,0,30,4.25
6,0,31,4.5
6,0,32,5.0
6,0,33,5.0
6,0,34,5.0
6,0,35,5.0
6,0,36,5.0
6,0,37,6.0
6,0,38,5.0
6,0,39,4.5
6,0,40,5.25
6,0,41,6.0
6,0,42,5.0
6,0,43,4.5
6,0,44,5.0
6,0,45,5.25
6,0,46,5.0
6,0,47,5.25
5,1,0,27.0
5,1,1,7.0
5,1,2,6.25
5,1,3,8.5
5,1,4,8.0
5,1,5,7.375
5,1,6,8.5
5,1,7,7.375
5,1,8,7.0
5,1,9,7.5
5,1,10,8.875
5,1,11,8.875
5,1,12,6.0
5,1,13,6.0
5,1,14,4.75
5,1,15,5.75
5,1,16,4.0
5,1,17,5.75
5,1,18,6.0
5,1,19,6.0
5,1,20,6.75
5,1,21,7.0
5,1,22,7.0
5,1,23,8.0
5,1,24,8.75
5,1,25,10.125
5,1,26,6.0
5,1,27,5.625
5,1,28,7.375
5,1,29,8.0
5,1,30,7.0
5,1,31,6.0
5,1,32,6.0
5,1,33,7.0
5,1,34,11.25
5,1,35,11.5
5,1,36,6.0
5,1,37,8.125
5,1,38,7.25
5,1,39,7.5
5,1,40,9.125
5,1,41,8.625
5,1,42,9.0
5,1,43,7.0
5,1,44,6.25
5,1,45,6.75
5,1,46,7.375
5,1,47,6.375
6,2,0,0.5
6,2,1,1.5
6,2,2,1.0
6,2,3,1.25
6,2,4,1.25
6,2,5,1.75
6,2,6,1.0
6,2,7,1.875
6,2,8,1.875
6,2,9,1.0
6,2,10,1.875
6,2,11,1.5
6,2,12,1.875
6,2,13,1.875
6,2,14,1.5
6,2,15,1.0
6,2,16,1.0
6,2,17,1.5
6,2,18,1.5
6,2,19,1.0
6,2,20,1.0
6,2,21,1.25
6,2,22,1.75
6,2,23,1.0
6,2,24,2.25
6,2,25,1.0
6,2,26,1.5
6,2,27,2.25
6,2,28,1.25
6,2,29,2.25
6,2,30,1.25
6,2,31,1.25
6,2,32,2.0
6,2,33,1.5
6,2,34,1.5
6,2,35,1.25
6,2,36,1.0
6,2,37,2.0
6,2,38,1.5
6,2,39,2.0
6,2,40,1.5
6,2,41,1.5
6,2,42,2.0
6,2,43,2.5
6,2,44,2.0
6,2,45,1.5
6,2,46,1.5
6,2,47,2.5
6,3,0,2.5
6,3,1,3.0
6,3,2,1.5
6,3,3,2.0
6,3,4,2.5
6,3,5,3.0
6,3,6,1.5
6,3,7,1.5
6,3,8,1.75
6,3,9,2.0
6,3,10,2.0
6,3,11,2.0
6,3,12,3.5
6,3,13,1.5
6,3,14,3.5
6,3,15,4.0
6,3,16,2.0
6,3,17,2.5
6,3,18,2.0
6,3,19,3.375
6,3,20,4.0
6,3,21,3.375
6,3,22,2.0
6,3,23,2.0
6,3,24,2.0
6,3,25,3.0
6,3,26,5.5
6,3,27,3.0
6,3,28,4.0
6,3,29,3.0
6,3,30,2.5
6,3,31,4.0
6,3,32,2.5
6,3,33,3.5
6,3,34,2.5
6,3,35,3.0
6,3,36,5.25
6,3,37,4.0
6,3,38,3.5
6,3,39,4.5
6,3,40,5.25
6,3,41,4.0
6,3,42,5.0
6,3,43,5.5
6,3,44,5.0
6,3,45,5.25
6,3,46,4.0
6,3,47,3.75
4,0,0,52.25
4,0,1,44.5
4,0,2,44.0
4,0,3,29.0
4,0,4,36.5
4,0,5,30.0
4,0,6,29.0
